Tool,File,Line,Severity,Rule,Message
PMD(Apex),./force-app/main/default/classes/AccountClass.cls,3,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/AccountClass.cls,55,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AccountClass.cls,58,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AccountClass.cls,58,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,6,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,14,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,14,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,20,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,29,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,29,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,37,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,37,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,57,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,59,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,59,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,62,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AttachmentHandler.cls,62,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,1,3,StdCyclomaticComplexity,The class 'CSVDataController' has a Standard Cyclomatic Complexity of 13 (Highest = 12).
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,11,3,StdCyclomaticComplexity,The method 'getCSVData' has a Standard Cyclomatic Complexity of 12.
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,11,3,NcssMethodCount,The method 'getCSVData()' has an NCSS line count of 47
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,11,3,CognitiveComplexity,"The method 'getCSVData(String)' has a cognitive complexity of 19, current threshold is 15"
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,11,3,CyclomaticComplexity,The method 'getCSVData(String)' has a cyclomatic complexity of 12.
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,16,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,25,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,25,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,40,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,40,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,60,3,AvoidDeeplyNestedIfStmts,Deeply nested if..then statements are hard to read
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,60,3,AvoidDeeplyNestedIfStmts,Deeply nested if..then statements are hard to read
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,60,3,AvoidDeeplyNestedIfStmts,Deeply nested if..then statements are hard to read
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,60,3,AvoidDeeplyNestedIfStmts,Deeply nested if..then statements are hard to read
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,75,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/CSVDataController.cls,75,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/CaseDataController.cls,1,3,StdCyclomaticComplexity,The class 'CaseDataController' has a Standard Cyclomatic Complexity of 14 (Highest = 13).
PMD(Apex),./force-app/main/default/classes/CaseDataController.cls,11,3,StdCyclomaticComplexity,The method 'getCSVData' has a Standard Cyclomatic Complexity of 13.
PMD(Apex),./force-app/main/default/classes/CaseDataController.cls,11,3,NcssMethodCount,The method 'getCSVData()' has an NCSS line count of 57
PMD(Apex),./force-app/main/default/classes/CaseDataController.cls,11,3,CognitiveComplexity,"The method 'getCSVData(String)' has a cognitive complexity of 20, current threshold is 15"
