Tool,File,Line,Severity,Rule,Message
Bandit,./comparision.py,7,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./comparision.py,45,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./comparision.py,49,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./comparision.py,51,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./cropped_embeddings.py,9,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./main.py,4,MEDIUM,B104,Possible binding to all interfaces.
Bandit,./utils/embedding_comparison.py,4,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./utils/embedding_comparison.py,78,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./utils/embedding_comparison.py,80,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./utils/mock_segmentation.py,153,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,154,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,169,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,170,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,178,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,179,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,184,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,185,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,186,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,187,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,201,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,202,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,203,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Pylint,models.py,2,Convention,C0304,Final newline missing
Pylint,utils/detailed_switch_analyzer.py,9,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,12,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,26,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,33,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,36,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,54,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,57,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,63,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,66,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,69,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,74,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,77,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,82,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,83,Convention,C0301,Line too long (120/100)
Pylint,utils/detailed_switch_analyzer.py,84,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,86,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,90,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,94,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,96,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,100,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,102,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,106,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,109,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,111,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,114,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,116,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,120,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,125,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,128,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,130,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,136,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,138,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,140,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,144,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,156,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,158,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,161,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,164,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,167,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,169,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,174,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,177,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,185,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,187,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,191,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,193,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,197,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,201,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,204,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,208,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,212,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,215,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,217,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,221,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,224,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,227,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,241,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,245,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,250,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,254,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,259,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,261,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,265,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,267,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,270,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,273,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,282,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,286,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,287,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,293,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,306,Convention,C0301,Line too long (103/100)
Pylint,utils/detailed_switch_analyzer.py,307,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,309,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,311,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,315,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,319,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,323,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,327,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,332,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,334,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,338,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,341,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,353,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,358,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,371,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,376,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,379,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,382,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,397,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,409,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,414,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,420,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,425,Convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,437,Convention,C0301,Line too long (115/100)
Pylint,utils/detailed_switch_analyzer.py,442,Convention,C0304,Final newline missing
Pylint,utils/detailed_switch_analyzer.py,1,Error,E0401,Unable to import 'cv2'
Pylint,utils/detailed_switch_analyzer.py,2,Error,E0401,Unable to import 'numpy'
Pylint,utils/detailed_switch_analyzer.py,38,Refactor,R1705,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"""
Pylint,utils/detailed_switch_analyzer.py,37,Refactor,R0911,Too many return statements (8/6)
Pylint,utils/detailed_switch_analyzer.py,55,Refactor,R0914,Too many local variables (17/15)
Pylint,utils/detailed_switch_analyzer.py,56,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,87,Warning,W0718,Catching too general exception Exception
Pylint,utils/detailed_switch_analyzer.py,61,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,65,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,68,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,83,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,88,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,93,Warning,W0612,Unused variable 'aspect_ratio'
Pylint,utils/detailed_switch_analyzer.py,103,Refactor,R0914,Too many local variables (21/15)
Pylint,utils/detailed_switch_analyzer.py,126,Refactor,R0916,Too many boolean expressions in if statement (6/5)
Pylint,utils/detailed_switch_analyzer.py,141,Refactor,R0914,Too many local variables (20/15)
Pylint,utils/detailed_switch_analyzer.py,157,Warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,188,Refactor,R0914,Too many local variables (21/15)
