Tool,File,Line,Severity,Rule,Message
Bandit,./comparision.py,7,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./comparision.py,45,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./comparision.py,49,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./comparision.py,51,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./cropped_embeddings.py,9,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./main.py,4,MEDIUM,B104,Possible binding to all interfaces.
Bandit,./utils/embedding_comparison.py,4,LOW,B403,Consider possible security implications associated with pickle module.
Bandit,./utils/embedding_comparison.py,78,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./utils/embedding_comparison.py,80,MEDIUM,B301,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue."
Bandit,./utils/mock_segmentation.py,153,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,154,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,169,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,170,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,178,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,179,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,184,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,185,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,186,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,187,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,201,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,202,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Bandit,./utils/mock_segmentation.py,203,LOW,B311,Standard pseudo-random generators are not suitable for security/cryptographic purposes.
Pylint,models.py,2,convention,C0304,Final newline missing
Pylint,utils/detailed_switch_analyzer.py,9,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,12,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,26,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,33,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,36,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,54,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,57,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,63,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,66,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,69,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,74,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,77,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,82,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,83,convention,C0301,Line too long (120/100)
Pylint,utils/detailed_switch_analyzer.py,84,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,86,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,90,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,94,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,96,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,100,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,102,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,106,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,109,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,111,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,114,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,116,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,120,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,125,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,128,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,130,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,136,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,138,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,140,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,144,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,156,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,158,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,161,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,164,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,167,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,169,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,174,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,177,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,185,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,187,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,191,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,193,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,197,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,201,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,204,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,208,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,212,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,215,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,217,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,221,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,224,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,227,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,241,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,245,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,250,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,254,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,259,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,261,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,265,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,267,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,270,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,273,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,282,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,286,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,287,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,293,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,306,convention,C0301,Line too long (103/100)
Pylint,utils/detailed_switch_analyzer.py,307,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,309,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,311,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,315,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,319,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,323,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,327,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,332,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,334,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,338,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,341,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,353,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,358,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,371,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,376,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,379,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,382,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,397,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,409,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,414,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,420,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,425,convention,C0303,Trailing whitespace
Pylint,utils/detailed_switch_analyzer.py,437,convention,C0301,Line too long (115/100)
Pylint,utils/detailed_switch_analyzer.py,442,convention,C0304,Final newline missing
Pylint,utils/detailed_switch_analyzer.py,1,error,E0401,Unable to import 'cv2'
Pylint,utils/detailed_switch_analyzer.py,2,error,E0401,Unable to import 'numpy'
Pylint,utils/detailed_switch_analyzer.py,38,refactor,R1705,"Unnecessary ""elif"" after ""return"", remove the leading ""el"" from ""elif"""
Pylint,utils/detailed_switch_analyzer.py,37,refactor,R0911,Too many return statements (8/6)
Pylint,utils/detailed_switch_analyzer.py,55,refactor,R0914,Too many local variables (17/15)
Pylint,utils/detailed_switch_analyzer.py,56,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,87,warning,W0718,Catching too general exception Exception
Pylint,utils/detailed_switch_analyzer.py,61,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,65,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,68,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,83,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,88,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,93,warning,W0612,Unused variable 'aspect_ratio'
Pylint,utils/detailed_switch_analyzer.py,103,refactor,R0914,Too many local variables (21/15)
Pylint,utils/detailed_switch_analyzer.py,126,refactor,R0916,Too many boolean expressions in if statement (6/5)
Pylint,utils/detailed_switch_analyzer.py,141,refactor,R0914,Too many local variables (20/15)
Pylint,utils/detailed_switch_analyzer.py,157,warning,W1203,Use lazy % formatting in logging functions
Pylint,utils/detailed_switch_analyzer.py,188,refactor,R0914,Too many local variables (21/15)
Pylint,utils/detailed_switch_analyzer.py,242,refactor,R0914,Too many local variables (18/15)
Pylint,utils/detailed_switch_analyzer.py,304,warning,W0718,Catching too general exception Exception
