Tool,File,Line,Severity,Rule,Message
PMD(Apex),./force-app/main/default/classes/AccountController.cls,4,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AccountController.cls,4,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AccountController.cls,5,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/AccountController.cls,5,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/AccountController.cls,20,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,4,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,9,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,9,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,15,3,ApexSOQLInjection,Avoid untrusted/unescaped variables in DML query
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,33,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/BenchConsultant.cls,73,3,CyclomaticComplexity,"The method 'daysInMonth(Integer, Integer)' has a cyclomatic complexity of 15."
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,3,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,37,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,37,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,40,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,47,3,CyclomaticComplexity,"The method 'daysInMonth(Integer, Integer)' has a cyclomatic complexity of 15."
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,75,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,78,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,78,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,85,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,88,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/ClientRevenue.cls,88,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
PMD(Apex),./force-app/main/default/classes/Client_Score_Report.cls,10,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/Client_Score_Report.cls,43,3,ApexCRUDViolation,Validate CRUD permission before SOQL/DML operation or enforce user mode
PMD(Apex),./force-app/main/default/classes/Client_Score_Report.cls,52,3,CyclomaticComplexity,"The method 'daysInMonth(Integer, Integer)' has a cyclomatic complexity of 15."
PMD(Apex),./force-app/main/default/classes/Dashboard.cls,3,3,ExcessiveParameterList,Avoid long parameter lists.
PMD(Apex),./force-app/main/default/classes/Dashboard.cls,35,3,AvoidDebugStatements,Avoid debug statements since they impact on performance
PMD(Apex),./force-app/main/default/classes/Dashboard.cls,35,3,DebugsShouldUseLoggingLevel,Calls to System.debug should specify a logging level.
