"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","4","The method 'getInstallationToken()' has an NCSS line count of 42","Design","NcssMethodCount"
"2","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","4","The method 'getInstallationToken(String)' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"3","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","7","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"4","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","30","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"5","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","30","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"6","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","34","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"7","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","34","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"8","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","39","Suggest named credentials for authentication","Security","ApexSuggestUsingNamedCred"
"9","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","47","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"10","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","47","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"11","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","48","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"12","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","48","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"13","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","57","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"14","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","57","Calling potentially dangerous method","Security","ApexDangerousMethods"
"15","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","57","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"16","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","62","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"17","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","62","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"18","","project/Code Scan/force-app/main/default/classes/GitHubAppTokenService.cls","3","63","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"1","","project/Code Scan/force-app/main/default/classes/GitHubAutoFixService.cls","3","8","Avoid long parameter lists.","Design","ExcessiveParameterList"
"2","","project/Code Scan/force-app/main/default/classes/GitHubAutoFixService.cls","3","8","The method 'applyFix()' has an NCSS line count of 57","Design","NcssMethodCount"
"3","","project/Code Scan/force-app/main/default/classes/GitHubAutoFixService.cls","3","8","The method 'applyFix(String, String, String, String, String)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"1","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","1","The class 'GitHubScanService' has a Standard Cyclomatic Complexity of 7 (Highest = 14).","Design","StdCyclomaticComplexity"
"2","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","1","The class 'GitHubScanService' has a total cognitive complexity of 122 (highest 33), current threshold is 50","Design","CognitiveComplexity"
"3","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","1","The class 'GitHubScanService' has a total cyclomatic complexity of 118 (highest 27).","Design","CyclomaticComplexity"
"4","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","1","This class has a bunch of public methods and attributes","Design","ExcessivePublicCount"
"5","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","33","The method 'runScan' has a Standard Cyclomatic Complexity of 10.","Design","StdCyclomaticComplexity"
"6","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","33","The method 'runScan(String, String, String)' has a cognitive complexity of 16, current threshold is 15","Design","CognitiveComplexity"
"7","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","33","The method 'runScan(String, String, String)' has a cyclomatic complexity of 16.","Design","CyclomaticComplexity"
"8","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","122","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"9","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","124","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"10","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","147","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"11","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","148","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"12","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","162","The method 'getFilterOptions()' has an NCSS line count of 50","Design","NcssMethodCount"
"13","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","162","The method 'getFilterOptions(String)' has a cognitive complexity of 19, current threshold is 15","Design","CognitiveComplexity"
"14","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","162","The method 'getFilterOptions(String)' has a cyclomatic complexity of 15.","Design","CyclomaticComplexity"
"15","","project/Code Scan/force-app/main/default/classes/GitHubScanService.cls","3","204","Avoid long parameter lists.","Design","ExcessiveParameterList"
