"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"FormalParameterNamingConventions","pmd",3,"Recommended,CodeStyle,Apex","project/unpackaged/classes/ContactActions.cls",283,44,283,64,"The method parameter name 'CMMExternalID' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#formalparameternamingconventions"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/unpackaged/classes/ContactActions.cls",319,15,395,2,"The method 'createAccounts(List<Contact>)' has a NCSS line count of 47 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_ASRTriggerHandlerTest.cls",9,1,9,8,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_ASRTriggerHandlerTest.cls",12,5,12,15,"The annotation @testSetup should be in PascalCase: @TestSetup","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/unpackaged/classes/PDMS_ASRTriggerHandlerTest.cls",12,23,136,6,"The method 'setup()' has a NCSS line count of 71 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_ASRTriggerHandlerTest.cls",138,5,138,12,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",8,1,8,8,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",11,5,11,15,"The annotation @testSetup should be in PascalCase: @TestSetup","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"NcssCount","pmd",3,"Recommended,Apex,Custom","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",11,23,152,6,"The method 'setup()' has a NCSS line count of 84 (limit: 40).","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#ncsscount"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",153,5,153,12,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",190,9,190,16,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",219,9,219,16,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASRAutomationBatchHandlerTest.cls",238,9,238,16,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
"AnnotationsNamingConventions","pmd",4,"Recommended,CodeStyle,Apex","project/unpackaged/classes/PDMS_BCH_ASR_AutomationBatchTest.cls",8,1,8,8,"The annotation @isTest should be in PascalCase: @IsTest","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_codestyle.html#annotationsnamingconventions"
